สินค้า,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
#,รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,หมวดหมู่ย่อย,หน่วยสินค้า,Barcode
96,TTF139-XL,(C3) พิซซ่า พื้นชมพู(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTF139-XL
97,TTF139-L,(B3) พิซซ่า พื้นชมพู(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTF139-L
98,TTF139-M,(A3) พิซซ่า พื้นชมพู(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTF139-M
99,TTF138-3XL,(E3) เบอร์เกอร์ พื้นน้ำตาลอ่อน -Burger(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTF138-3XL
100,TTF138-XXL,(D3) เบอร์เกอร์ พื้นน้ำตาลอ่อน -Burger(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTF138-XXL
101,TTF138-XL,(C3) เบอร์เกอร์ พื้นน้ำตาลอ่อน -Burger(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTF138-XL
102,TTF138-L,(B3) เบอร์เกอร์ พื้นน้ำตาลอ่อน -Burger(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTF138-L
103,TTF138-M,(A3) เบอร์เกอร์ พื้นน้ำตาลอ่อน -Burger(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTF138-M
104,KR118-XXL,ผ้าเชิ้ต - ริ้วเล็กน้ำตาล (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR118-XXL
105,KR118-XL,ผ้าเชิ้ต - ริ้วเล็กน้ำตาล (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR118-XL
106,KR118-L,ผ้าเชิ้ต - ริ้วเล็กน้ำตาล (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR118-L
107,KR118-M,ผ้าเชิ้ต - ริ้วเล็กน้ำตาล (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR118-M
108,KR117-XXL,ผ้าเชิ้ต - ริ้วเล็กเทาดำ (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR117-XXL
109,KR117-XL,ผ้าเชิ้ต - ริ้วเล็กเทาดำ (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR117-XL
110,KR117-L,ผ้าเชิ้ต - ริ้วเล็กเทาดำ (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR117-L
111,KR117-M,ผ้าเชิ้ต - ริ้วเล็กเทาดำ (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR117-M
112,KR116-XXL,ผ้าเชิ้ต - เหลืองพาสเทล (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR116-XXL
113,KR116-XL,ผ้าเชิ้ต - เหลืองพาสเทล (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR116-XL
114,KR116-L,ผ้าเชิ้ต - เหลืองพาสเทล (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR116-L
115,KR116-M,ผ้าเชิ้ต - เหลืองพาสเทล (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR116-M
116,KR115-XXL,ผ้าเชิ้ต - ชมพูพาสเทล (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR115-XXL
117,KR115-XL,ผ้าเชิ้ต - ชมพูพาสเทล (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR115-XL
118,KR115-L,ผ้าเชิ้ต - ชมพูพาสเทล (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR115-L
119,KR115-M,ผ้าเชิ้ต - ชมพูพาสเทล (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR115-M
120,KR114-XXL,ผ้าเชิ้ต - เขียวเอิร์ธโทน (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR114-XXL
121,KR114-XL,ผ้าเชิ้ต - เขียวเอิร์ธโทน (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR114-XL
122,KR114-L,ผ้าเชิ้ต - เขียวเอิร์ธโทน (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR114-L
123,KR114-M,ผ้าเชิ้ต - เขียวเอิร์ธโทน (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR114-M
124,KR113-XXL,ผ้าเชิ้ต - เทาดำ (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR113-XXL
125,KR113-XL,ผ้าเชิ้ต - เทาดำ (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR113-XL
126,KR113-L,ผ้าเชิ้ต - เทาดำ (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR113-L
127,KR113-M,ผ้าเชิ้ต - เทาดำ (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR113-M
128,KR112-XXL,ผ้าเชิ้ต - ดำล้วน (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR112-XXL
129,KR112-XL,ผ้าเชิ้ต - ดำล้วน (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR112-XL
130,KR112-L,ผ้าเชิ้ต - ดำล้วน (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR112-L
131,KR112-M,ผ้าเชิ้ต - ดำล้วน (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR112-M
132,KR111-XXL,ผ้าเชิ้ต - ริ้วเล็กเหลือง (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR111-XXL
133,KR111-XL,ผ้าเชิ้ต - ริ้วเล็กเหลือง (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR111-XL
134,KR111-L,ผ้าเชิ้ต - ริ้วเล็กเหลือง (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR111-L
135,KR111-M,ผ้าเชิ้ต - ริ้วเล็กเหลือง (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR111-M
136,KR110-XXL,ผ้าเชิ้ต - ริ้วเล็กชมพู (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR110-XXL
137,KR110-XL,ผ้าเชิ้ต - ริ้วเล็กชมพู (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR110-XL
138,KR110-L,ผ้าเชิ้ต - ริ้วเล็กชมพู (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR110-L
139,KR110-M,ผ้าเชิ้ต - ริ้วเล็กชมพู (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR110-M
140,KR109-XXL,ผ้าเชิ้ต - ริ้วเล็กฟ้า (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR109-XXL
141,KR109-XL,ผ้าเชิ้ต - ริ้วเล็กฟ้า (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR109-XL
142,KR109-L,ผ้าเชิ้ต - ริ้วเล็กฟ้า (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR109-L
143,KR109-M,ผ้าเชิ้ต - ริ้วเล็กฟ้า (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR109-M
144,KR108-XXL,ผ้าเชิ้ต - ริ้วใหญ่เหลือง (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR108-XXL
145,KR108-XL,ผ้าเชิ้ต - ริ้วใหญ่เหลือง (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR108-XL
146,KR108-L,ผ้าเชิ้ต - ริ้วใหญ่เหลือง (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR108-L
147,KR108-M,ผ้าเชิ้ต - ริ้วใหญ่เหลือง (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR108-M
148,KR107-XXL,ผ้าเชิ้ต - ริ้วใหญ่ชมพู (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR107-XXL
149,KR107-XL,ผ้าเชิ้ต - ริ้วใหญ่ชมพู (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR107-XL
150,KR107-L,ผ้าเชิ้ต - ริ้วใหญ่ชมพู (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR107-L
